Pregunta,Respuesta1,Respuesta2,Respuesta3,Correcta
¿Cuál es la capital de Francia?," ""París"""," ""Londres"""," ""Berlín"""," ""París"""
¿Cuánt planetas hay en el sistema solar?," ""8"""," ""7"""," ""9"""," ""8"""
¿Cuál es el símbolo químico del oro?," ""Au"""," ""Ag"""," ""Pb"""," ""Au"""
¿En qué año llegó el hombre a la Luna?," ""1969"""," ""1970"""," ""1968"""," ""1969"""
¿Cuál es el río más largo del mundo?," ""Amazonas"""," ""Nilo"""," ""Yangtsé"""," ""Nilo"""
¿Cuál es el planeta más cercano al Sol?,"""Mercurio""","""Venus""","""Tierra""","""Mercurio"""
¿En qué continente se encuentra Egipto?,"""Asia""","""África""","""Europa""","""África"""
¿Cuántos colores tiene el arcoíris?,"""7""","""8""","""6""","""7"""
¿Qué instrumento mide los terremotos?,"""Barómetro""","""Sismógrafo""","""Termómetro""","""Sismógrafo"""
¿Cuál es el océano más grande del mundo?,"""Atlántico""","""Pacífico""","""Índico""","""Pacífico"""
¿Cuál es el país más grande en superficie?,"""China""","""Rusia""","""Canadá""","""Rusia"""
¿Qué vitamina es producida por el cuerpo cuando está expuesto al sol?,"""Vitamina C""","""Vitamina D""","""Vitamina B""","""Vitamina D"""
